tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0109206|movie|Bandit Queen|1994|119|Action,Biography,Crime|born lower caste girl rural india patriarchal society married 11 repeatedly raped brutalized phooland devi find freedom avenging warrior eponymous bandit queen devi becomes kind bloody robin hood extraordinary biographical film offer vivid portrait driven woman savage critique society made|9/9/94|revenge reply|7.5|4966
tt0109361|movie|Cabin Boy|1994|80|Adventure,Comedy,Romance|foul mouthed finishing school graduate mistakenly wind ill fated fishing boat face wrath crew considers bad luck|1/7/94|setting sail high sea without rudder compass clue|5.2|8744
tt0110265|movie|Killing Zoe|1993|96|Crime,Thriller|zed eric stoltz american vault cracker travel paris meet old friend eric jean hugues anglade eric gang planned raid bank city open bastille day offering service zed soon find trapped situation beyond control heroin abuse poor planning call girl named zoe conspire turn robbery bloody siege|10/1/93||6.4|20741
tt0110322|movie|Legends of the Fall|1994|133|Drama,Romance,War|epic tale three brother father living remote wilderness 1900s usa life affected nature history war love|12/16/94|fall innocence legend begin|7.5|167551
tt0110912|movie|Pulp Fiction|1994|154|Crime,Drama|burger loving hit man philosophical partner drug addled gangster moll washed boxer converge sprawling comedic crime caper adventure unfurl three story ingeniously trip back forth time|9/10/94|character mean character|8.9|2036854
tt0110955|movie|The Ref|1994|97|Comedy,Crime,Drama|cat burglar forced take bickering dysfunctional family hostage christmas eve|3/9/94|might hostage guy criminal|6.9|25026
tt0111003|movie|The Puppet Masters|1994|109|Horror,Sci-Fi,Thriller|earth invaded alien parasite aka slug ride people back control mind trio american government agent attempt thwart|10/21/94|trust one|5.9|9221
tt0111400|movie|Terminal Velocity|1994|102|Action,Mystery,Romance|maverick skydiver former kgb agent team stop russian mafia stealing gold|9/23/94|fall kill|5.5|14014
tt0112541|movie|Blue in the Face|1995|83|Comedy|auggie run small tobacco shop brooklyn new york whole neighborhood come visit buy cigarette small talk movie lou reed try explain cut health insurance bill keep smoking madonna act singing telegram|9/15/95|welcome planet brooklyn|6.6|9694
tt0112579|movie|The Bridges of Madison County|1995|135|Drama,Romance|photographer robert kincaid wanders life housewife francesca johnson four day 1960s|5/28/95|path francesca johnson future seems destined due unexpected fork road|7.6|82416
tt0112715|movie|Congo|1995|109|Action,Adventure,Mystery|eight people embark expedition congo mysterious expanse unexplored africa human greed law nature gone berserk thrill seeker ulterior motif stumble across race killer ape|6/9/95|endangered specie|5.2|46149
tt0112749|movie|Cry, the Beloved Country|1995|106|Drama,Thriller|south african preacher go search wayward son committed crime big city|12/15/95||6.8|1879
tt0112922|movie|The Day of the Beast|1995|103|Action,Comedy,Crime|story revolves around basque roman catholic priest dedicated committing many sin possible angulo death metal salesman carabanchel segura italian host tv show occult de razza go literal trip christmas time madrid hunt prevent reincarnation antichrist|10/20/95|devilishly dark comedy|7.3|21936
tt0113199|movie|Gordy|1994|90|Comedy,Drama,Family|talking pig named gordy becomes involved quest save family slaughterhouse|5/12/95|talking pig made big|3.7|1999
tt0113321|movie|Home for the Holidays|1995|103|Comedy,Drama,Romance|losing job making soon ex bos finding daughter plan spend thanksgiving boyfriend claudia larson face spending holiday family wonder survive crazy antic|11/2/95|every year get right|6.5|13393
tt0113448|movie|Jack & Sarah|1995|110|Comedy,Drama,Romance|jack always land foot land foot marries beautiful sarah land foot buy luxurious new home however sarah go labour take tumble stair land head come around discovers proud father baby girl deficient spouse department tune 1|6/2/95|proper fitting british jack breath fresh air|6.6|5334
tt0113481|movie|Johnny Mnemonic|1995|103|Action,Drama,Sci-Fi|data courier literally carrying data package inside head must deliver dy burden killed yakuza dystopian 2021 johnny keanu reef data trafficker implant allows securely store data sensitive regular computer network one delivery run accepts package exceeds implant safety limit kill data removed time also contains information far important valuable ever imagined race time must avoid assassin sent kill remove data end life|5/26/95|hottest data earth coolest head town|5.6|72525
tt0113986|movie|Nine Months|1995|103|Comedy,Romance|find longtime girlfriend pregnant commitment phobe realizes might change lifestyle better much much worse|7/12/95|ready|5.5|37242
tt0114388|movie|Sense and Sensibility|1995|136|Drama,Romance|rich mr dashwood dy leaving second wife daughter poor rule inheritance two daughter titular opposite|12/13/95|lose heart come sens|7.7|116929
tt0114508|movie|Species|1995|108|Action,Horror,Sci-Fi|1993 search extra terrestrial intelligence project receives transmission detailing alien dna structure along instruction splice human dna result sil sensual deadly creature change beautiful woman armour plated killing machine blink eye|7/7/95|time|5.8|81013
tt0114558|movie|Strange Days|1995|145|Crime,Drama,Sci-Fi|set year 1999 last day old millennium movie tell story lenny nero ex cop deal data disc containing recorded memory emotion one day receives disc contains memory murderer killing prostitute lenny investigates pulled deeper deeper whirl blackmail murder rape survive solve case|10/13/95|know want|7.1|72449
tt0114576|movie|Sudden Death|1995|111|Action,Crime,Thriller|international action superstar jean claude van damme team power boothe tension packed suspense thriller set back drop stanley cup game van damme portrays father whose daughter suddenly taken championship hockey game captor demanding billion dollar game end van damme frantically set plan motion rescue daughter abort impending explosion final buzzer|12/22/95|terror go overtime|5.8|34960
tt0114781|movie|Under Siege 2: Dark Territory|1995|100|Action,Adventure,Thriller|passenger train hijacked electronics expert turned untraceable command center weapon satellite planned blow washington dc one man stop former navy seal casey ryback|7/13/95|last time rocked boat time sky limit|5.5|47378
tt0115530|movie|American Buffalo|1996|88|Drama|three inner city loser plan robbery valuable coin seedy second hand junk shop|9/13/96|plan worth nickle|5.8|3831
tt0115624|movie|Barb Wire|1996|98|Action,Sci-Fi|sexy nightclub owner barb wire moonlight mercenary steel harbor one last free zone fascist united state scientist cora devonshire wanders barb establishment get roped top secret government plot involving biological weapon soon barb reunited old flame axel hood cora husband guerrilla fighter resulting plenty tense action|5/2/96|call babe|3.5|29274
